kino,film,dato,ukedag,klokkeslett,sal,aldersgrense,kategori,sprak_og_tekst,kilde
Verdal,Super Mario Galaxy filmen,2026-05-19,tirsdag,17:00,Sal 2,6 år,"Familiefilm, Studentkino","2D, Norsk tale, Norsk tekst, Studentkino, Familiefilm",https://www.nfkino.no/kino/verdal
Steinkjer,Super Mario Galaxy filmen,2026-05-20,onsdag,15:00,Sal 4 MAGIQ,6 år,animasjon,"2D, Norsk tekst, Original tale",https://www.steinkjerkino.no/
Steinkjer,Super Mario Galaxy filmen,2026-05-20,onsdag,15:00,Sal 4 MAGIQ,6 år,animasjon,"Original tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-20/popularity/all/all
Steinkjer,Sauedetektivene,2026-05-20,onsdag,15:15,Sal 2,6 år,"komedie, familiefilm","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-20/popularity/all/all
Verdal,Super Mario Galaxy filmen,2026-05-21,torsdag,17:00,Sal 2,6 år,Familiefilm,"2D, Norsk tale, Norsk tekst, Familiefilm",https://www.nfkino.no/kino/verdal
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-22,fredag,17:45,Sal 2,6 år,"familiefilm, eventyr, barnefilm, animasjon","2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-22,fredag,17:45,Sal 2,6 år,"familiefilm, eventyr, barnefilm, animasjon","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-22/popularity/all/all
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-23,lørdag,12:15,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-23,lørdag,12:15,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-23/popularity/all/all
Steinkjer,Super Mario Galaxy filmen,2026-05-23,lørdag,12:15,Sal 2,6 år,animasjon,"2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Super Mario Galaxy filmen,2026-05-23,lørdag,12:15,Sal 2,6 år,animasjon,"Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-23/popularity/all/all
Verdal,Diplodocus og den magiske hokus pokus,2026-05-23,lørdag,14:30,Sal 1,6 år,Barnefilm,"2D, Norsk tale, Norsk tekst, Barnefilm",https://www.nfkino.no/kino/verdal
Steinkjer,Sauedetektivene,2026-05-23,lørdag,14:45,Sal 2,6 år,"komedie, familiefilm","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-23/popularity/all/all
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-23,lørdag,15:00,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-23,lørdag,15:00,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-23/popularity/all/all
Steinkjer,Super Mario Galaxy filmen,2026-05-23,lørdag,15:00,Sal 4 MAGIQ,6 år,animasjon,"2D, Norsk tekst, Original tale",https://www.steinkjerkino.no/
Steinkjer,Super Mario Galaxy filmen,2026-05-23,lørdag,15:00,Sal 4 MAGIQ,6 år,animasjon,"Original tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-23/popularity/all/all
Verdal,Sauedetektivene,2026-05-23,lørdag,15:00,Sal 2,6 år,Familiefilm,"2D, Norsk tale, Norsk tekst, Familiefilm",https://www.nfkino.no/kino/verdal
Steinkjer,Super Mario Galaxy filmen,2026-05-23,lørdag,17:45,Sal 2,6 år,animasjon,"2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Super Mario Galaxy filmen,2026-05-23,lørdag,17:45,Sal 2,6 år,animasjon,"Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-23/popularity/all/all
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-24,søndag,12:15,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-24,søndag,12:15,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-24/popularity/all/all
Steinkjer,Super Mario Galaxy filmen,2026-05-24,søndag,12:15,Sal 2,6 år,animasjon,"2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Super Mario Galaxy filmen,2026-05-24,søndag,12:15,Sal 2,6 år,animasjon,"Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-24/popularity/all/all
Verdal,Diplodocus og den magiske hokus pokus,2026-05-24,søndag,14:30,Sal 1,6 år,Barnefilm,"2D, Norsk tale, Norsk tekst, Barnefilm",https://www.nfkino.no/kino/verdal
Steinkjer,Sauedetektivene,2026-05-24,søndag,14:45,Sal 2,6 år,"komedie, familiefilm","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-24/popularity/all/all
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-24,søndag,15:00,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-24,søndag,15:00,Sal 1 EPIQ,6 år,"familiefilm, eventyr, barnefilm, animasjon","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-24/popularity/all/all
Steinkjer,Super Mario Galaxy filmen,2026-05-24,søndag,15:00,Sal 4 MAGIQ,6 år,animasjon,"2D, Norsk tekst, Original tale",https://www.steinkjerkino.no/
Steinkjer,Super Mario Galaxy filmen,2026-05-24,søndag,15:00,Sal 4 MAGIQ,6 år,animasjon,"Original tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-24/popularity/all/all
Verdal,Super Mario Galaxy filmen,2026-05-24,søndag,15:00,Sal 2,6 år,Familiefilm,"2D, Norsk tale, Norsk tekst, Familiefilm",https://www.nfkino.no/kino/verdal
Steinkjer,Super Mario Galaxy filmen,2026-05-24,søndag,17:45,Sal 2,6 år,animasjon,"2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Super Mario Galaxy filmen,2026-05-24,søndag,17:45,Sal 2,6 år,animasjon,"Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-24/popularity/all/all
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-25,mandag,17:45,Sal 2,6 år,"familiefilm, eventyr, barnefilm, animasjon","2D, Norsk tale, Norsk tekst",https://www.steinkjerkino.no/
Steinkjer,Diplodocus og den magiske hokus pokus,2026-05-25,mandag,17:45,Sal 2,6 år,"familiefilm, eventyr, barnefilm, animasjon","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-25/popularity/all/all
Steinkjer,Sauedetektivene,2026-05-25,mandag,17:45,Sal 1 EPIQ,6 år,"komedie, familiefilm","Norsk tale, Norsk tekst",https://www.steinkjerkino.no/program/2026-05-25/popularity/all/all
